uuid,date,tave,tmin,tmax,heat_index,wind_speed,rh,solar_rad,uv_rad,Barangay,City
CATMS3A12CF,12/30/2022,25.81,24.65,27.69,27.48,0.65,84.9,192,24.32,Barangay Zone II (Pob.),Zamboanga City
CATMS3E6BAF,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Kasanyangan,Zamboanga City
CATMS3B85C5,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Santa Catalina,Zamboanga City
CATMS39679A,12/31/2022,26.42,24.83,27.59,28.56,1.79,82.35,218.37,26.02,Pangapuyan,Zamboanga City
CATMS3866C9,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Malagutay,Zamboanga City
CATMS36489E,12/31/2022,26.32,24.79,28.05,28.44,1.56,83.06,215.2,25.5,Dulian (Upper Bunguiao),Zamboanga City
CATMS36D74B,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Labuan,Zamboanga City
CATMS3C1472,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Sinunoc,Zamboanga City
CATMS3DC079,12/31/2022,26.42,24.83,27.59,28.56,1.79,82.35,218.37,26.02,Tumalutab,Zamboanga City
CATMS352B44,12/31/2022,26.42,24.83,27.59,28.56,1.79,82.35,218.37,26.02,Cacao,Zamboanga City
CATMS3DF98B,12/31/2022,26.55,24.94,28.41,28.94,1.41,83.05,209.72,25.01,Vitali,Zamboanga City
CATMS3DDD02,12/31/2022,26.79,25.21,28.43,29.41,1.32,82.52,212.25,25.36,Tumitus,Zamboanga City
CATMS3B693C,12/31/2022,26.37,24.51,28.28,28.67,1.45,83.75,220.82,26.17,Santa Barbara,Zamboanga City
CATMS378281,12/31/2022,26.19,24.88,27.61,28.14,1.56,83.08,213.11,25.41,Latuan (Curuan),Zamboanga City
CATMS382DB7,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Lunzuran,Zamboanga City
CATMS3C4D84,12/31/2022,26.19,24.88,27.61,28.14,1.56,83.08,213.11,25.41,Taguiti,Zamboanga City
CATMS3ABE06,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Rio Hondo,Zamboanga City
CATMS36BAC2,12/31/2022,26.32,24.54,28.64,28.55,1.44,83.71,216.28,25.42,La Paz,Zamboanga City
CATMS398423,12/31/2022,26.31,24.86,27.6,28.35,1.67,82.71,215.74,25.72,Panubigan,Zamboanga City
CATMS3C30FB,12/31/2022,26.19,24.88,27.61,28.14,1.56,83.08,213.11,25.41,Tagasilay,Zamboanga City
CATMS3CA31F,12/31/2022,26.36,24.64,27.96,28.52,1.65,83.01,218.4,25.89,Talon-talon,Zamboanga City
CATMS3D8767,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Tulungatung,Zamboanga City
CATMS34F232,12/31/2022,26.42,24.83,27.59,28.56,1.79,82.35,218.37,26.02,Cabaluay,Zamboanga City
CATMS356456,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Calarian,Zamboanga City
CATMS388352,12/31/2022,26.36,24.64,27.96,28.52,1.65,83.01,218.4,25.89,Mampang,Zamboanga City
CATMS39F647,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Barangay Zone I (Pob.),Zamboanga City
CATMS369E39,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Guiwan,Zamboanga City
CATMS372CE6,12/31/2022,26.42,24.83,27.59,28.56,1.79,82.35,218.37,26.02,Landang Laum,Zamboanga City
CATMS36F3D4,12/31/2022,26.42,24.83,27.59,28.56,1.79,82.35,218.37,26.02,Lamisahan,Zamboanga City
CATMS3BF7E9,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Sinubung,Zamboanga City
CATMS3BBED7,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Santo Ni̱o,Zamboanga City
CATMS37F4A5,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Lumayang,Zamboanga City
CATMS3AF718,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,San Jose Cawa-cawa,Zamboanga City
CATMS359D68,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Canelar,Zamboanga City
CATMS3D4E55,12/31/2022,26.36,24.64,27.96,28.52,1.65,83.01,218.4,25.89,Tolosa,Zamboanga City
CATMS3EDDD3,12/31/2022,26.32,24.54,28.64,28.55,1.44,83.71,216.28,25.42,Pasonanca Natural Park under Jurisdiction of Zamboanga City,Zamboanga City
CATMS3D6ADE,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Tugbungan,Zamboanga City
CATMS340DEA,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Ayala,Zamboanga City
CATMS3ADA8F,12/31/2022,26.36,24.64,27.96,28.52,1.65,83.01,218.4,25.89,Salaan,Zamboanga City
CATMS3765F8,12/31/2022,26.42,24.83,27.59,28.56,1.79,82.35,218.37,26.02,Lapakan,Zamboanga City
CATMS38112E,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Lumbangan,Zamboanga City
CATMS3AA17D,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Recodo,Zamboanga City
CATMS384A40,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Maasin,Zamboanga City
CATMS34D5A9,12/31/2022,26.42,24.83,27.59,28.56,1.79,82.35,218.37,26.02,Busay (Sacol Island),Zamboanga City
CATMS34800E,12/31/2022,26.31,24.86,27.6,28.35,1.67,82.71,215.74,25.72,Bolong,Zamboanga City
CATMS3580DF,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Campo Islam,Zamboanga City
CATMS366527,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Dulian (Upper Pasonanca),Zamboanga City
CATMS38F576,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Mariki,Zamboanga City
CATMS39A0AC,12/31/2022,26.42,24.83,27.59,28.56,1.79,82.35,218.37,26.02,Pasilmanta (Sacol Island),Zamboanga City
